nohup: ignoring input
[23:49:04] Fetched 100 candles.
[23:50:04] Fetched 100 candles.
[23:51:04] Fetched 100 candles.
[23:52:05] Fetched 100 candles.
[23:53:05] Fetched 100 candles.
[23:54:05] Fetched 100 candles.
[23:55:06] Fetched 100 candles.
[23:56:06] Fetched 100 candles.
[23:57:06] Fetched 100 candles.
[23:58:07] Fetched 100 candles.
[23:59:07] Fetched 100 candles.
[00:00:08] Fetched 100 candles.
[00:01:08] Fetched 100 candles.
[00:02:09] Fetched 100 candles.
[00:03:09] Fetched 100 candles.
[00:04:09] Fetched 100 candles.
[00:05:10] Fetched 100 candles.
[00:06:10] Fetched 100 candles.
[00:07:10] Fetched 100 candles.
[00:08:11] Fetched 100 candles.
[00:09:11] Fetched 100 candles.
[00:10:11] Fetched 100 candles.
[00:11:12] Fetched 100 candles.
[00:12:12] Fetched 100 candles.
[00:13:12] Fetched 100 candles.
[00:14:13] Fetched 100 candles.
[00:15:13] Fetched 100 candles.
[00:16:13] Fetched 100 candles.
[00:17:14] Fetched 100 candles.
[00:18:14] Fetched 100 candles.
[00:19:14] Fetched 100 candles.
[00:20:15] Fetched 100 candles.
[00:21:15] Fetched 100 candles.
[00:22:15] Fetched 100 candles.
[00:23:16] Fetched 100 candles.
[00:24:16] Fetched 100 candles.
[00:25:17] Fetched 100 candles.
[00:26:17] Fetched 100 candles.
[00:27:17] Fetched 100 candles.
[00:28:18] Fetched 100 candles.
[00:29:18] Fetched 100 candles.
[00:30:18] Fetched 100 candles.
[00:31:19] Fetched 100 candles.
[00:32:19] Fetched 100 candles.
[00:33:19] Fetched 100 candles.
[00:34:20] Fetched 100 candles.
[00:35:20] Fetched 100 candles.
[00:36:20] Fetched 100 candles.
[00:37:21] Fetched 100 candles.
[00:38:21] Fetched 100 candles.
[00:39:22] Fetched 100 candles.
[00:40:22] Fetched 100 candles.
[00:41:22] Fetched 100 candles.
[00:42:23] Fetched 100 candles.
[00:43:23] Fetched 100 candles.
[00:44:23] Fetched 100 candles.
[00:45:24] Fetched 100 candles.
[00:46:24] Fetched 100 candles.
[00:47:24] Fetched 100 candles.
[00:48:25] Fetched 100 candles.
[00:49:25] Fetched 100 candles.
[00:50:25] Fetched 100 candles.
[00:51:26] Fetched 100 candles.
[00:52:26] Fetched 100 candles.
[00:53:26] Fetched 100 candles.
[00:54:27] Fetched 100 candles.
[00:55:27] Fetched 100 candles.
[00:56:28] Fetched 100 candles.
[00:57:28] Fetched 100 candles.
[00:58:28] Fetched 100 candles.
[00:59:29] Fetched 100 candles.
[01:00:29] Fetched 100 candles.
[01:01:29] Fetched 100 candles.
[01:02:30] Fetched 100 candles.
[01:03:30] Fetched 100 candles.
[01:04:30] Fetched 100 candles.
[01:05:31] Fetched 100 candles.
[01:06:31] Fetched 100 candles.
[01:07:32] Fetched 100 candles.
[01:08:33] Fetched 100 candles.
[01:09:33] Fetched 100 candles.
[01:10:33] Fetched 100 candles.
[01:11:34] Fetched 100 candles.
[01:12:34] Fetched 100 candles.
[01:13:35] Fetched 100 candles.
[01:14:35] Fetched 100 candles.
[01:15:35] Fetched 100 candles.
[01:16:36] Fetched 100 candles.
[01:17:36] Fetched 100 candles.
[01:18:36] Fetched 100 candles.
